Account Number,Post Date,Check,Description,Debit,Credit,Status
"XXXXXX7703",4/17/2026,,"AMAZON MKTPLACE PMTS",194.65,,Pending
"XXXXXX7703",4/16/2026,,"GUGLHUPF RESTAURANT",4.83,,Pending
"XXXXXX7703",4/14/2026,,"RAISING CANES 1260       RALEIGH      NC",12.44,,Posted
"XXXXXX7703",4/11/2026,,"MICROSOFT*XBOX           MICROSOFT.COMWA",21.39,,Posted
"XXXXXX7703",4/10/2026,,"SHELL OIL 57544553100    CHAPEL HILL  NC",58.61,,Posted
"XXXXXX7703",4/8/2026,,"TRC DURHAM               154-13165747 NC",15.00,,Posted
"XXXXXX7703",4/7/2026,,"BEST BUY      00010512   DURHAM       NC",8.59,,Posted
"XXXXXX7703",4/4/2026,,"MIKES BITES              BALD HEAD ISLNC",12.00,,Posted
"XXXXXX7703",4/1/2026,,"VE BOTTEGA PROSECCO BAR  VENEZIA      IT",23.94,,Posted
"XXXXXX7703",4/1/2026,,"FOREIGN CURRENCY FEE",.71,,Posted
"XXXXXX7703",3/31/2026,,"GELATERIA ROMANA         PADOVA       IT",4.03,,Posted
"XXXXXX7703",3/31/2026,,"FOREIGN CURRENCY FEE",.12,,Posted
"XXXXXX7703",3/31/2026,,"GRAUND SNC               PADOVA       IT",3.23,,Posted
"XXXXXX7703",3/31/2026,,"FOREIGN CURRENCY FEE",.09,,Posted
"XXXXXX7703",3/31/2026,,"FRATERNA AT SRL          PADOVA       IT",27.08,,Posted
"XXXXXX7703",3/31/2026,,"FOREIGN CURRENCY FEE",.81,,Posted
"XXXXXX7703",3/30/2026,,"OTIVM PADOVA             PADOVA       IT",5.77,,Posted
"XXXXXX7703",3/30/2026,,"FOREIGN CURRENCY FEE",.17,,Posted
"XXXXXX7703",3/30/2026,,"BEPE BIGOI               PADOVA       IT",10.39,,Posted
"XXXXXX7703",3/30/2026,,"FOREIGN CURRENCY FEE",.31,,Posted
"XXXXXX7703",3/30/2026,,"ASS. TRADIZIONI LATINE   CASALMAIOCCO IT",17.32,,Posted
"XXXXXX7703",3/30/2026,,"FOREIGN CURRENCY FEE",.51,,Posted
"XXXXXX7703",3/29/2026,,"GRAUND SNC               PADOVA       IT",4.04,,Posted
"XXXXXX7703",3/29/2026,,"FOREIGN CURRENCY FEE",.12,,Posted
"XXXXXX7703",3/28/2026,,"GELATERIA ROMANA         PADOVA       IT",4.62,,Posted
"XXXXXX7703",3/28/2026,,"FOREIGN CURRENCY FEE",.13,,Posted
"XXXXXX7703",3/28/2026,,"GRAUND SNC               PADOVA       IT",12.13,,Posted
"XXXXXX7703",3/28/2026,,"FOREIGN CURRENCY FEE",.36,,Posted
"XXXXXX7703",3/28/2026,,"GRAUND SNC               PADOVA       IT",13.28,,Posted
"XXXXXX7703",3/28/2026,,"FOREIGN CURRENCY FEE",.39,,Posted
"XXXXXX7703",3/27/2026,,"MAXSI SRL                PADOVA       IT",53.69,,Posted
"XXXXXX7703",3/27/2026,,"FOREIGN CURRENCY FEE",1.61,,Posted
"XXXXXX7703",3/17/2026,,"NC SEC OF STATE CORP     919-814-5325 NC",128.00,,Posted
"XXXXXX7703",3/16/2026,,"MOBILITA  BY MYCICERO    SENIGALLIA   IT",14.99,,Posted
"XXXXXX7703",3/16/2026,,"FOREIGN CURRENCY FEE",.44,,Posted
"XXXXXX7703",3/12/2026,,"WWW.HOSTELWORLD.COM      DUBLIN       IE",208.74,,Posted
"XXXXXX7703",3/1/2026,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,1230.15,Posted
"XXXXXX7703",3/1/2026,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,1421.55,Posted
"XXXXXX7703",2/28/2026,,"AIRBNB * HMS5EC5SBK      069-936-6533 LU",50.81,,Posted
"XXXXXX7703",2/28/2026,,"FOREIGN CURRENCY FEE",1.52,,Posted
"XXXXXX7703",2/25/2026,,"NY CARLSBERG GLYPTOTEK   KOEBENHAVN V DK",3.16,,Posted
"XXXXXX7703",2/25/2026,,"NY CARLSBERG GLYPTOTEK   KOEBENHAVN V DK",3.16,,Posted
"XXXXXX7703",2/25/2026,,"FOREIGN CURRENCY FEE",.09,,Posted
"XXXXXX7703",2/25/2026,,"FOREIGN CURRENCY FEE",.09,,Posted
"XXXXXX7703",2/23/2026,,"AIRALO                   SINGAPORE    SG",37.00,,Posted
"XXXXXX7703",2/23/2026,,"NATOO                    VENEZIA      IT",6.50,,Posted
"XXXXXX7703",2/23/2026,,"REMA1000 KBH.K           KOEBENHAVN K DK",10.95,,Posted
"XXXXXX7703",2/23/2026,,"MIAS FODDERBRAET         KOEBENHAVN K DK",10.27,,Posted
"XXXXXX7703",2/23/2026,,"GOTHERSGADE 40           KOBENHAVN K  DK",19.60,,Posted
"XXXXXX7703",2/23/2026,,"Dansk Arkitektur Center  Koebenhavn K DK",9.48,,Posted
"XXXXXX7703",2/23/2026,,"DAC                      KOeBENHAVN K DK",9.48,,Posted
"XXXXXX7703",2/23/2026,,"Espresso House 7137      Koebenhavn K DK",9.01,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.19,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.32,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.30,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.58,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.28,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.28,,Posted
"XXXXXX7703",2/23/2026,,"FOREIGN CURRENCY FEE",.27,,Posted
"XXXXXX7703",2/22/2026,,"MOBILITA  BY MYCICERO    SENIGALLIA   IT",15.35,,Posted
"XXXXXX7703",2/22/2026,,"GRAUND SNC               PADOVA       IT",9.68,,Posted
"XXXXXX7703",2/22/2026,,"FOREIGN CURRENCY FEE",.46,,Posted
"XXXXXX7703",2/22/2026,,"FOREIGN CURRENCY FEE",.29,,Posted
"XXXXXX7703",2/21/2026,,"GELATERIA ROMANA         PADOVA       IT",5.91,,Posted
"XXXXXX7703",2/21/2026,,"daPRETTE Bakery          Padova       IT",13.23,,Posted
"XXXXXX7703",2/21/2026,,"LA FOLPERIA              LEGNARO      IT",20.31,,Posted
"XXXXXX7703",2/21/2026,,"FOREIGN CURRENCY FEE",.17,,Posted
"XXXXXX7703",2/21/2026,,"FOREIGN CURRENCY FEE",.39,,Posted
"XXXXXX7703",2/21/2026,,"FOREIGN CURRENCY FEE",.60,,Posted
"XXXXXX7703",2/20/2026,,"AIRALO                   SINGAPORE    SG",4.00,,Posted
"XXXXXX7703",2/17/2026,,"AIRBNB * HMS5EC5SBK      069-936-6533 LU",97.09,,Posted
"XXXXXX7703",2/17/2026,,"THEO WAWRYNOW - ROA      DIJON        FR",11.87,,Posted
"XXXXXX7703",2/17/2026,,"FOREIGN CURRENCY FEE",2.91,,Posted
"XXXXXX7703",2/17/2026,,"FOREIGN CURRENCY FEE",.35,,Posted
"XXXXXX7703",2/16/2026,,"STEAMGAMES.COM 4259522985425-8899642  WA",37.45,,Posted
"XXXXXX7703",2/16/2026,,"2272 DS2 PD CENTOSTAZION PADOVA       IT",26.25,,Posted
"XXXXXX7703",2/16/2026,,"BAR CLODIA               VENEZIA      IT",4.16,,Posted
"XXXXXX7703",2/16/2026,,"BAR CLODIA               VENEZIA      IT",5.94,,Posted
"XXXXXX7703",2/16/2026,,"OSTERIA AI DO ARCHI      VENEZIA      IT",20.21,,Posted
"XXXXXX7703",2/16/2026,,"VENICE ART GLASS DI MEMA VENEZIA      IT",23.77,,Posted
"XXXXXX7703",2/16/2026,,"TRENITALIA - PT WL       https://www.tIT",5.94,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.78,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.12,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.17,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.60,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.71,,Posted
"XXXXXX7703",2/16/2026,,"FOREIGN CURRENCY FEE",.17,,Posted
"XXXXXX7703",2/15/2026,,"PAM LOCAL                PADOVA       IT",22.47,,Posted
"XXXXXX7703",2/15/2026,,"FOREIGN CURRENCY FEE",.67,,Posted
"XXXXXX7703",2/14/2026,,"GELATERIA ROMANA         PADOVA       IT",4.75,,Posted
"XXXXXX7703",2/14/2026,,"AMZN Mktp IT*QO8FQ9G65   AMAZON.IT    LU",77.77,,Posted
"XXXXXX7703",2/14/2026,,"ATTIMI SUSHI             PADOVA       IT",24.25,,Posted
"XXXXXX7703",2/14/2026,,"FOREIGN CURRENCY FEE",.14,,Posted
"XXXXXX7703",2/14/2026,,"FOREIGN CURRENCY FEE",.72,,Posted
"XXXXXX7703",2/13/2026,,"GOV*NC DMV               855-9806559  NC",20.06,,Posted
