Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"XXXXXX9750",12/9/2025,,"POS SIG 12/08 VISA #3333 FS *SUPERCELLSTORE fsprg.com CA",25.62,,Posted,6817.05
"XXXXXX9750",12/8/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LA FOLPERIA IT",.38,,Posted,6842.67
"XXXXXX9750",12/8/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LUCE VINTAGE IT",.35,,Posted,6843.05
"XXXXXX9750",12/8/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE VIOLA NICOLA IT",.23,,Posted,6843.40
"XXXXXX9750",12/8/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE AGATINO SICIL IT",.17,,Posted,6843.63
"XXXXXX9750",12/8/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE OTIVM PADOVA IT",.14,,Posted,6843.80
"XXXXXX9750",12/8/2025,,"POS SIG 12/05 VISA #3333 LA FOLPERIA LEGNARO IT",19.04,,Posted,6843.94
"XXXXXX9750",12/8/2025,,"POS SIG 12/05 VISA #3333 LUCE VINTAGE PADOVA IT",17.53,,Posted,6862.98
"XXXXXX9750",12/8/2025,,"POS SIG 12/05 VISA #3333 VIOLA NICOLA PADOVA IT",11.68,,Posted,6880.51
"XXXXXX9750",12/8/2025,,"POS SIG 12/06 VISA #3333 AGATINO SICILIANO CONSELVE IT",8.29,,Posted,6892.19
"XXXXXX9750",12/8/2025,,"POS SIG 12/06 VISA #3333 OTIVM PADOVA PADOVA IT",6.83,,Posted,6900.48
"XXXXXX9750",12/4/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.09,,Posted,6907.31
"XXXXXX9750",12/4/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6907.40
"XXXXXX9750",12/4/2025,,"POS SIG 12/03 VISA #3333 GELATERIA ROMANA PADOVA IT",4.65,,Posted,6907.41
"XXXXXX9750",12/4/2025,,"POS SIG 12/03 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,6912.06
"XXXXXX9750",12/3/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6912.53
"XXXXXX9750",12/3/2025,,"POS SIG 12/02 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,6912.54
"XXXXXX9750",12/2/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6913.01
"XXXXXX9750",12/2/2025,,"POS SIG 12/01 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6913.02
"XXXXXX9750",12/1/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE MB PARRUCCHIE IT",.46,,Posted,6913.48
"XXXXXX9750",12/1/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6913.94
"XXXXXX9750",12/1/2025,,"POS SIG 11/28 VISA #3333 MB PARRUCCHIERI PADOVA IT",23.23,,Posted,6913.95
"XXXXXX9750",12/1/2025,,"POS SIG 11/28 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6937.18
"XXXXXX9750",12/1/2025,,"FCB FUNDS TRANSFER FROM  X2504",,250.00,Posted,6937.64
"XXXXXX9750",12/1/2025,,"FCB FUNDS TRANSFER FROM  X2504",,40.00,Posted,6687.64
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE ALIBABA E I 4 IT",.14,,Posted,6647.64
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,6647.78
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6647.92
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6647.93
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6647.94
"XXXXXX9750",11/28/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,6647.95
"XXXXXX9750",11/28/2025,,"POS SIG 11/27 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.96,,Posted,6647.96
"XXXXXX9750",11/28/2025,,"POS SIG 11/26 VISA #3333 ALIBABA E I 40 PANINI PADOVA IT",6.95,,Posted,6654.92
"XXXXXX9750",11/28/2025,,"POS SIG 11/26 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6661.87
"XXXXXX9750",11/28/2025,,"POS SIG 11/26 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6662.33
"XXXXXX9750",11/28/2025,,"POS SIG 11/27 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6662.79
"XXXXXX9750",11/28/2025,,"POS SIG 11/27 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,6663.25
"XXXXXX9750",11/28/2025,,"FCB FUNDS TRANSFER FROM  X2504",,5000.00,Posted,6663.71
"XXXXXX9750",11/26/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,1663.71
"XXXXXX9750",11/26/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GELATERIA ROM IT",.12,,Posted,1663.85
"XXXXXX9750",11/26/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1663.97
"XXXXXX9750",11/26/2025,,"POS SIG 11/25 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.93,,Posted,1663.98
"XXXXXX9750",11/26/2025,,"POS SIG 11/25 VISA #3333 GELATERIA ROMANA PADOVA IT",5.78,,Posted,1670.91
"XXXXXX9750",11/26/2025,,"POS SIG 11/25 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1676.69
"XXXXXX9750",11/25/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1677.15
"XXXXXX9750",11/25/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1677.16
"XXXXXX9750",11/25/2025,,"POS SIG 11/24 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1677.17
"XXXXXX9750",11/25/2025,,"POS SIG 11/24 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1677.63
"XXXXXX9750",11/24/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LA POT IT",.85,,Posted,1678.09
"XXXXXX9750",11/24/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1678.94
"XXXXXX9750",11/24/2025,,"POS SIG 11/21 VISA #3333 LA POT PADOVA IT",42.62,,Posted,1678.95
"XXXXXX9750",11/24/2025,,"POS SIG 11/21 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1721.57
"XXXXXX9750",11/21/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE FARMACIA TOCC IT",.51,,Posted,1722.03
"XXXXXX9750",11/21/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,1722.54
"XXXXXX9750",11/21/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1722.68
"XXXXXX9750",11/21/2025,,"POS SIG 11/20 VISA #3333 FARMACIA TOCCHETTO PADOVA IT",25.52,,Posted,1722.69
"XXXXXX9750",11/21/2025,,"POS SIG 11/20 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.96,,Posted,1748.21
"XXXXXX9750",11/21/2025,,"POS SIG 11/20 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1755.17
"XXXXXX9750",11/20/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1755.63
"XXXXXX9750",11/20/2025,,"POS SIG 11/19 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,1755.64
"XXXXXX9750",11/19/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PIZZERIA EREM IT",.47,,Posted,1756.10
"XXXXXX9750",11/19/2025,,"POS SIG 11/18 VISA #3333 PIZZERIA EREMITANI PADOVA IT",23.26,,Posted,1756.57
"XXXXXX9750",11/18/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,1779.83
"XXXXXX9750",11/18/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.02,,Posted,1779.97
"XXXXXX9750",11/18/2025,,"POS SIG 11/17 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.99,,Posted,1779.99
"XXXXXX9750",11/18/2025,,"POS SIG 11/17 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.82,,Posted,1786.98
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",1.21,,Posted,1787.80
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",1.21,,Posted,1789.01
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",.77,,Posted,1790.22
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE EBY S SEGUI L IT",.35,,Posted,1790.99
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PINE&amp;APPLE IT",.33,,Posted,1791.34
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CONAD IT",.20,,Posted,1791.67
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRE MERLI CAF IT",.14,,Posted,1791.87
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CAFFE DEL BO IT",.12,,Posted,1792.01
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRE MERLI CAF IT",.09,,Posted,1792.13
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE KHAN KABIR IT",.09,,Posted,1792.22
"XXXXXX9750",11/17/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,1792.31
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 PAYPAL *tcabrera Visa Direct CA",68.55,,Posted,1792.32
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 TRENITALIA - PT WL https://www.t IT",60.61,,Posted,1860.87
"XXXXXX9750",11/17/2025,,"POS SIG 11/16 VISA #3333 TRENITALIA - PT WL https://www.t IT",60.61,,Posted,1921.48
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 PAYPAL *tcabrera San Jose CA",46.28,,Posted,1982.09
"XXXXXX9750",11/17/2025,,"POS SIG 11/14 VISA #3333 TRENITALIA - PT WL https://www.t IT",38.47,,Posted,2028.37
"XXXXXX9750",11/17/2025,,"POS SIG 11/14 VISA #3333 EBY S SEGUI LA RANA FIRENZE IT",17.49,,Posted,2066.84
"XXXXXX9750",11/17/2025,,"POS SIG 11/16 VISA #3333 PINE&amp;APPLE FIRENZE IT",16.32,,Posted,2084.33
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 CONAD FIRENZE IT",10.09,,Posted,2100.65
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 TRE MERLI CAFFE' S.R.L FIRENZE IT",6.76,,Posted,2110.74
"XXXXXX9750",11/17/2025,,"POS SIG 11/16 VISA #3333 CAFFE DEL BORGO FIRENZE IT",5.83,,Posted,2117.50
"XXXXXX9750",11/17/2025,,"POS SIG 11/15 VISA #3333 TRE MERLI CAFFE' S.R.L FIRENZE IT",4.66,,Posted,2123.33
"XXXXXX9750",11/17/2025,,"POS SIG 11/16 VISA #3333 KHAN KABIR FIRENZE IT",4.66,,Posted,2127.99
"XXXXXX9750",11/17/2025,,"POS SIG 11/14 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.47,,Posted,2132.65
"XXXXXX9750",11/14/2025,,"POS SIG 11/13 VISA #3333 PAYPAL *BLUEMAGPIER 402-935-7733 CA",1.00,,Posted,2133.12
"XXXXXX9750",11/14/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2134.12
"XXXXXX9750",11/14/2025,,"POS SIG 11/13 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2134.13
"XXXXXX9750",11/13/2025,,"POS SIG 11/12 VISA #3333 PAYPAL *BLUEMAGPIER 402-935-7733 CA",174.00,,Posted,2134.59
"XXXXXX9750",11/12/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LUCE VINTAGE IT",4.87,,Posted,2308.59
"XXXXXX9750",11/12/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE VINTAGE STORE IT",1.74,,Posted,2313.46
"XXXXXX9750",11/12/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.17,,Posted,2315.20
"XXXXXX9750",11/12/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2315.37
"XXXXXX9750",11/12/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2315.38
"XXXXXX9750",11/12/2025,,"POS SIG 11/11 VISA #3333 LUCE VINTAGE PADOVA IT",243.29,,Posted,2315.39
"XXXXXX9750",11/12/2025,,"POS SIG 11/11 VISA #3333 VINTAGE STORE PADOVA IT",86.89,,Posted,2558.68
"XXXXXX9750",11/12/2025,,"POS SIG 11/10 VISA #3333 THE BIG BANG PIZZA PADOVA IT",8.69,,Posted,2645.57
"XXXXXX9750",11/12/2025,,"POS SIG 11/10 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2654.26
"XXXXXX9750",11/12/2025,,"POS SIG 11/11 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2654.72
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRENITALIA - IT",.70,,Posted,2655.18
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE 051 OSTERIA D IT",.60,,Posted,2655.88
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE 051 OSTERIA D IT",.56,,Posted,2656.48
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TRATTORIA ANN IT",.51,,Posted,2657.04
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE AZ. A. LA MAS IT",.26,,Posted,2657.55
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE STRINGHETTO S IT",.24,,Posted,2657.81
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE FRANZONI FRAT IT",.23,,Posted,2658.05
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE RUSTICHELLI &amp; IT",.16,,Posted,2658.28
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE CAFFE ZANARIN IT",.15,,Posted,2658.44
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE LA NOSTRA BOL IT",.07,,Posted,2658.59
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE PIANO PIANO S IT",.06,,Posted,2658.66
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE SumUp *Aless IT",.05,,Posted,2658.72
"XXXXXX9750",11/10/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2658.77
"XXXXXX9750",11/10/2025,,"POS SIG 11/09 VISA #3333 TRENITALIA - PT WL https://www.t IT",34.78,,Posted,2658.78
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 051 OSTERIA DEL MERCAT BOLOGNA IT",30.14,,Posted,2693.56
"XXXXXX9750",11/10/2025,,"POS SIG 11/09 VISA #3333 051 OSTERIA DEL MERCAT BOLOGNA IT",27.82,,Posted,2723.70
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 TRATTORIA ANNAMARIA BOLOGNA IT",25.50,,Posted,2751.52
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 AZ. A. LA MASCIONARA PIZZOLI IT",12.75,,Posted,2777.02
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 STRINGHETTO SRL LEGNAGO IT",11.82,,Posted,2789.77
"XXXXXX9750",11/10/2025,,"POS SIG 11/09 VISA #3333 FRANZONI FRATELLI SS S TORBOLE CASAG IT",11.59,,Posted,2801.59
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 RUSTICHELLI &amp; MANGIONE PADOVA IT",8.00,,Posted,2813.18
"XXXXXX9750",11/10/2025,,"POS SIG 11/09 VISA #3333 CAFFE ZANARINI BOLOGNA IT",7.53,,Posted,2821.18
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 LA NOSTRA BOLOGNA BOLOGNA IT",3.48,,Posted,2828.71
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 PIANO PIANO SRLS BOLOGNA IT",2.90,,Posted,2832.19
"XXXXXX9750",11/10/2025,,"POS SIG 11/08 VISA #3333 SumUp *Alessandro Pal Bologna IT",2.32,,Posted,2835.09
"XXXXXX9750",11/10/2025,,"POS SIG 11/07 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2837.41
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE TIGOTA' IT",.20,,Posted,2837.87
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE THE BIG BANG IT",.14,,Posted,2838.07
"XXXXXX9750",11/7/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2838.21
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 TIGOTA' PADOVA IT",10.01,,Posted,2838.22
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 THE BIG BANG PIZZA PADOVA IT",6.90,,Posted,2848.23
"XXXXXX9750",11/7/2025,,"POS SIG 11/06 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2855.13
"XXXXXX9750",11/6/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2855.59
"XXXXXX9750",11/6/2025,,"POS SIG 11/05 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2855.60
"XXXXXX9750",11/5/2025,,"FDR DEBIT CARD VISA DEBIT FOREIGN TRANSACTION FEE GRUPPO ARGENT IT",.01,,Posted,2856.06
"XXXXXX9750",11/5/2025,,"POS SIG 11/04 VISA #3333 GRUPPO ARGENTA S.P.A. REGGIO EMILIA IT",.46,,Posted,2856.07
